Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"Reliance Industries","https://scanx.trade/company/reliance-industries-ltd","1,354.50","0.36%","1,350.00","71,05,813","18,32,973.42","19.07","9.14","1,611.80","1,290.00","0.09%","-4.57%","-5.23%","22.20%","49.01%","2.02","0.44%","8.54%","8.71%","101.61","1,375.47","1,429.42","45.85","78.00%","91.00%"
"HDFC Bank","https://scanx.trade/company/hdfc-bank-ltd","766.80","1.01%","759.15","2,56,04,071","11,80,257.23","14.75","17.92","1,020.50","726.65","-5.54%","-15.91%","-20.41%","-6.88%","2.42%","2.01","2.04%","13.93%","6.38%","89.49","787.25","922.57","45.35","78.00%","91.00%"
"Bharti Airtel","https://scanx.trade/company/bharti-airtel-ltd","1,871.40","-0.74%","1,891.30","50,99,120","11,40,263.45","33.96","32.19","2,174.50","1,740.50","0.88%","-5.36%","2.68%","132.26%","259.08%","7.71","1.27%","8.11%","18.01%","21.42","1,837.85","1,958.61","52.22","78.00%","91.00%"
"ICICI Bank","https://scanx.trade/company/icici-bank-ltd","1,264.30","1.73%","1,242.00","1,16,01,085","9,05,099.59","15.38","17.92","1,500.00","1,187.60","-8.94%","-9.34%","-12.49%","32.48%","96.79%","2.50","0.96%","16.67%","6.13%","64.38","1,277.73","1,360.91","48.05","78.00%","91.00%"
"State Bank of India","https://scanx.trade/company/state-bank-of-india-ltd","949.20","-0.18%","950.90","78,07,192","8,76,170.22","10.13","8.71","1,234.70","779.10","-14.63%","-21.95%","20.59%","65.04%","136.59%","1.54","1.82%","15.83%","5.57%","81.94","1,044.57","978.43","31.89","78.00%","89.89%"
"Tata Consultancy Services","https://scanx.trade/company/tcs-tata-consultancy-services-ltd","2,317.30","-0.43%","2,331.10","26,17,262","8,38,419.42","17.03","25.39","3,545.00","2,206.40","-11.23%","-13.73%","-34.28%","-28.10%","-24.78%","7.85","4.73%","50.48%","54.93%","131.54","2,432.45","2,900.60","39.16","78.00%","90.81%"
"Bajaj Finance","https://scanx.trade/company/bajaj-finance-ltd","916.55","0.98%","908.10","48,11,990","5,70,321.58","29.24","42.91","1,102.50","787.90","-2.38%","-11.03%","-0.35%","35.10%","62.75%","4.96","0.66%","18.84%","10.98%","241.14","900.01","961.80","48.66","76.00%","88.33%"
"Larsen & Toubro","https://scanx.trade/company/lt-larsen-toubro-ltd","3,926.60","-0.05%","3,907.00","13,30,428","5,40,147.62","28.51","-7.93","4,440.00","3,288.10","-3.65%","-10.36%","9.41%","79.29%","176.90%","4.94","0.97%","15.18%","18.71%","96.60","3,846.13","3,880.47","48.49","76.00%","89.11%"
"Hindustan Unilever","https://scanx.trade/company/hindustan-unilever-ltd","2,203.60","1.13%","2,180.00","13,82,889","5,17,755.93","34.00","38.75","2,705.09","2,022.50","-4.63%","-4.79%","-5.23%","-15.19%","-5.17%","10.50","1.88%","19.99%","23.38%","43.99","2,200.72","2,370.16","44.18","78.00%","91.00%"
"LIC of India","https://scanx.trade/company/lic-of-india-ltd","812.95","1.59%","835.00","1,88,03,486","5,14,190.69","9.56","42.91","980.00","721.50","-1.35%","-6.91%","-4.78%","43.88%","-7.12%","3.57","1.25%","49.36%","0.87%","66.13","793.62","854.14","54.72","76.00%","87.50%"
"Infosys","https://scanx.trade/company/infosys-ltd","1,174.50","-0.57%","1,182.50","88,03,066","4,76,305.69","16.26","25.39","1,728.00","1,089.00","-10.56%","-13.21%","-25.12%","-7.44%","-13.29%","5.44","4.06%","29.67%","38.99%","64.20","1,234.69","1,445.71","46.18","78.00%","89.12%"
"Sun Pharmaceutical","https://scanx.trade/company/sun-pharmaceutical-ltd","1,844.60","-2.47%","1,903.00","36,10,732","4,42,581.33","41.43","13.45","1,916.60","1,548.00","10.77%","6.97%","6.51%","99.23%","167.18%","5.83","0.85%","14.38%","18.92%","43.95","1,773.69","1,711.40","54.75","78.00%","91.00%"
"Adani Power","https://scanx.trade/company/adani-power-ltd","219.32","-0.00%","220.50","1,70,90,471","4,22,951.92","32.60","40.56","234.40","105.42","8.05%","53.69%","98.93%","364.46%","984.67%","6.52","-","48.28%","20.42%","41.44","188.24","153.02","59.92","60.00%","82.26%"
"Adani Ports & SEZ","https://scanx.trade/company/adani-ports-sez-ltd","1,786.90","-0.36%","1,793.30","14,87,044","4,11,694.45","32.32","35.52","1,823.90","1,290.50","12.09%","18.22%","29.06%","159.69%","132.31%","4.30","0.42%","15.69%","13.60%","46.34","1,549.26","1,469.56","65.63","75.01%","80.00%"
"Maruti Suzuki","https://scanx.trade/company/maruti-suzuki-ltd","12,987.00","-0.18%","13,100.00","3,87,975","4,08,314.62","27.86","46.98","17,370.00","12,016.00","-3.52%","-13.29%","2.95%","42.62%","90.57%","3.82","1.08%","15.75%","19.54%","467.71","13,114.92","14,858.88","43.30","78.00%","90.58%"
"Axis Bank","https://scanx.trade/company/axis-bank-ltd","1,285.40","2.56%","1,254.10","50,16,900","3,99,466.44","14.68","17.92","1,418.30","1,042.50","-6.70%","-6.06%","7.31%","39.11%","75.87%","1.82","0.08%","16.77%","6.50%","86.46","1,272.47","1,234.85","52.50","78.00%","90.26%"
"Mahindra & Mahindra","https://scanx.trade/company/mahindra-mahindra-ltd","3,081.30","-0.57%","3,095.00","24,07,171","3,83,168.54","20.70","46.98","3,839.90","2,896.00","-5.11%","-9.71%","-0.30%","144.47%","276.25%","4.14","0.96%","15.83%","15.04%","88.80","3,131.90","3,434.28","44.34","76.00%","88.14%"
"Kotak Bank","https://scanx.trade/company/kotak-mahindra-bank-ltd","384.15","0.87%","381.00","1,03,48,359","3,82,093.15","19.64","17.92","453.20","345.50","0.52%","-8.83%","-7.27%","-1.08%","9.28%","2.09","0.17%","13.83%","6.51%","93.78","375.19","406.59","53.47","78.00%","91.00%"
"ITC","https://scanx.trade/company/itc-ltd","301.70","-2.06%","305.90","3,07,51,752","3,78,006.85","10.91","15.27","444.20","287.00","-2.57%","-7.74%","-30.32%","-24.04%","52.56%","5.43","4.71%","27.71%","36.57%","16.36","303.66","362.83","42.90","78.00%","91.00%"
"NTPC","https://scanx.trade/company/ntpc-ltd","388.65","-0.04%","389.95","1,17,55,213","3,76,860.93","15.19","40.56","414.40","315.55","-1.91%","4.21%","12.28%","124.26%","244.40%","1.96","2.15%","12.31%","9.85%","22.08","387.37","351.89","46.32","76.00%","91.00%"
"Oil & Natural Gas Corporation","https://scanx.trade/company/oil-natural-gas-corporation-ltd","290.00","-1.98%","295.80","1,15,63,330","3,64,828.10","8.28","-321.63","307.50","228.61","2.44%","4.07%","16.62%","75.86%","157.21%","1.01","4.14%","15.64%","11.31%","36.35","283.47","256.03","49.62","76.00%","89.40%"
"Titan","https://scanx.trade/company/titan-ltd","4,079.80","-0.08%","4,057.20","7,68,112","3,62,199.00","71.47","225.57","4,605.00","3,303.10","-8.93%","-3.70%","13.94%","51.01%","165.21%","23.09","0.37%","37.22%","36.95%","38.91","4,241.02","3,927.45","39.42","78.00%","90.33%"
"Adani Enterprises","https://scanx.trade/company/adani-enterprises-ltd","2,717.30","0.73%","2,710.20","10,94,843","3,51,046.14","35.24","13.90","2,803.10","1,753.00","22.07%","25.75%","12.09%","43.29%","113.12%","4.33","0.05%","7.45%","10.92%","37.44","2,219.03","2,262.31","71.97","71.37%","80.00%"
"UltraTech Cement","https://scanx.trade/company/ultratech-cement-ltd","11,569.00","0.83%","11,531.00","3,40,427","3,40,914.33","41.32","242.39","13,110.00","10,325.00","-3.90%","-9.38%","-0.83%","50.61%","74.29%","4.42","2.09%","11.62%","9.06%","243.84","11,467.64","12,036.89","47.63","78.00%","90.26%"
"HCL Technologies","https://scanx.trade/company/hcl-technologies-ltd","1,164.00","-0.36%","1,169.90","20,44,782","3,15,870.62","19.04","25.39","1,780.10","1,103.40","-19.23%","-18.97%","-29.54%","6.27%","25.07%","4.22","4.62%","23.01%","30.84%","60.53","1,299.53","1,482.40","36.23","76.00%","89.05%"
"JSW Steel","https://scanx.trade/company/jsw-steel-ltd","1,285.50","0.33%","1,284.20","5,88,674","3,14,363.11","12.30","21.18","1,314.00","962.15","0.46%","4.02%","28.43%","85.27%","84.12%","3.14","0.69%","11.25%","7.49%","28.47","1,219.46","1,166.33","57.40","76.00%","89.80%"
"Bharat Electronics","https://scanx.trade/company/bharat-electronics-ltd","416.55","-0.92%","421.45","91,75,611","3,04,488.84","50.75","7.94","473.45","361.20","-7.74%","-5.58%","8.76%","289.30%","692.98%","12.82","0.59%","24.13%","33.72%","5.80","433.97","415.06","40.45","75.80%","87.50%"
"Bajaj Auto","https://scanx.trade/company/bajaj-auto-ltd","10,549.50","-1.10%","10,667.00","2,07,805","2,94,856.24","28.20","1.72","10,785.00","7,858.50","7.72%","7.57%","21.43%","135.31%","155.71%","7.68","1.41%","26.61%","24.90%","286.76","9,655.13","9,244.71","60.91","76.00%","90.07%"
"Hindustan Aeronautics","https://scanx.trade/company/hal-hindustan-aeronautics-ltd","4,368.40","-0.05%","4,370.40","8,45,826","2,92,147.67","32.04","10.67","5,147.00","3,479.10","0.23%","4.76%","-12.65%","184.28%","752.04%","7.12","0.80%","26.15%","17.49%","113.89","4,171.32","4,413.03","49.03","74.66%","87.05%"
"Bajaj Finserv","https://scanx.trade/company/bajaj-finserv-ltd","1,766.00","0.79%","1,760.00","3,92,442","2,82,657.13","14.26","42.91","2,195.00","1,597.00","-4.61%","-14.21%","-13.32%","24.80%","56.77%","3.60","0.09%","15.03%","10.65%","52.25","1,764.89","1,958.30","48.54","76.00%","90.29%"
"Coal India","https://scanx.trade/company/coal-india-ltd","456.55","-0.79%","460.00","92,01,635","2,81,359.36","9.13","13.82","491.25","368.65","3.02%","7.79%","12.63%","90.31%","210.16%","2.38","5.81%","44.71%","24.48%","59.34","455.31","412.21","48.46","76.00%","90.02%"
"Nestle","https://scanx.trade/company/nestle-india-ltd","1,423.10","1.18%","1,410.50","13,06,017","2,74,418.41","77.47","21.25","1,498.10","1,084.70","3.13%","9.99%","18.96%","31.22%","62.67%","52.57","0.85%","117.72%","59.30%","33.58","1,321.32","1,260.30","55.45","78.00%","91.00%"
"Power Grid Corporation of India","https://scanx.trade/company/power-grid-corporation-of-india-ltd","294.30","-1.75%","298.70","1,51,05,294","2,73,716.77","17.49","40.56","324.95","250.00","-7.84%","-1.56%","-0.62%","67.90%","129.53%","2.77","4.51%","18.53%","12.27%","16.88","305.15","285.77","34.57","76.00%","90.76%"
