"SYMBOL 
","UNDERLYING ASSET 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
","VALUE 
 (₹ Crores)","NAV 
","52W H 
","52W L 
","30D  %CHNG 
","365 D   %CHNG 
"
"SILVERBND","Commodity - Silver","227.60","245.29","226.99","225.87","241.00","-","15.13","6.70","64,618","1.51","226.40","261.42","180.00",0,"-"
"GROWWSLVR","Commodity-Silver","226.46","235.79","223.75","219.86","229.01","-","9.15","4.16","7,43,482","16.84","222.29","256.58","94.20",35.55,"-"
"SILVER360","Commodity-Silver","222.99","228.60","222.74","218.83","227.40","-","8.57","3.92","1,13,667","2.57","221.67","240.00","78.40",34.64,"-"
"HDFCSILVER","HDFC Silver ETF","216.48","223.39","216.48","215.18","223.23","-","8.05","3.74","69,39,045","153.78","217.24","243.45","83.45",34.25,"165.63"
"TATSILV","Tata Silver Exchange Traded Fund","22.01","22.63","22.01","21.84","22.60","-","0.76","3.48","9,90,21,535","222.01","22.58","25.10","8.45",34.43,"165.53"
"SILVERBEES","Domestic price of Silver- based on LBMA Silver daily spot fixing price","220.33","222.20","217.60","214.95","222.19","-","7.24","3.37","6,33,78,048","1,400.02","218.48","243.29","77.55",34.19,"164.60"
"SBISILVER","SBI SILVER ETF","225.26","227.86","223.77","220.27","227.60","-","7.33","3.33","38,61,452","87.47","221.86","249.40","85.50",33.96,"164.91"
"SILVERBETA","UTI Silver Exchange Traded Fund (UTI Silver ETF)","221.99","225.00","220.16","217.29","224.50","-","7.21","3.32","18,11,639","40.47","216.92","244.64","84.57",0,"-"
"SILVER","Physical price of Silver","228.76","231.50","227.64","223.75","231.10","-","7.35","3.28","24,16,562","55.57","226.00","251.99","86.80",33.88,"164.52"
"SILVERIETF","Domestic Price of Silver","229.50","233.00","221.01","224.95","232.10","-","7.15","3.18","1,32,57,278","305.30","226.13","251.35","86.61",34.36,"165.66"
"CPSEETF","CPSE ETF","94.23","94.90","91.00","91.94","94.80","-","2.86","3.11","60,69,641","56.93","92.05","96.16","74.90",3.48,"10.61"
"SILVERCASE","Commodity-Silver","23.38","23.66","22.95","22.81","23.52","-","0.71","3.11","2,08,64,357","48.95","20.93","25.40","9.00",34.25,"-"
"SILVERADD","DSP Silver ETF","215.00","224.76","215.00","218.02","224.49","-","6.47","2.97","6,46,009","14.42","218.44","243.99","83.51",34.37,"166.04"
"SILVERAG","Mirae Asset Silver ETF","224.98","225.49","221.80","218.09","224.49","-","6.40","2.93","21,01,474","46.96","220.58","249.40","84.55",32.77,"-"
"ESILVER","Edelweiss Silver ETF","230.40","233.00","225.45","225.64","232.00","-","6.36","2.82","8,06,260","18.68","226.29","252.00","86.27",33.49,"164.10"
"MOPSE","Nifty PSE Total Return Index","99.85","104.00","99.85","99.85","102.60","-","2.75","2.75","9,253","0.09","99.99","108.00","92.55",4.04,"-"
"MOSILVER","Domestic Price of Physical Silver","226.47","229.44","224.00","223.12","229.00","-","5.88","2.64","4,20,584","9.62","223.91","248.00","112.32",33.14,"-"
"AXISILVER","Axis Silver ETF","225.66","232.90","218.30","225.11","230.90","-","5.79","2.57","12,48,058","28.69","225.12","247.38","86.48",34.66,"165.11"
"GROWWPOWER","BSE Power Index - TRI","9.90","10.15","9.85","9.88","10.13","-","0.25","2.53","20,17,377","2.03","9.87","11.30","9.43",2.12,"-"
"PSUBNKBEES","Nifty PSU Bank","95.27","97.60","95.23","95.27","97.52","-","2.25","2.36","60,16,616","58.17","95.41","97.66","61.54",2.31,"33.46"
"ENERGY","Nifty Energy","35.62","36.39","35.59","35.55","36.35","-","0.80","2.25","22,92,566","8.24","35.51","40.00","34.03",2.6,"-"
"PSUBANKADD","DSP Nifty PSU Bank ETF","86.50","87.95","86.24","86.05","87.95","-","1.90","2.21","52,251","0.45","86.14","87.95","55.47",2.26,"33.21"
"HNGSNGBEES","Hang Seng Index","505.32","509.00","500.11","497.21","508.00","-","10.79","2.17","2,70,610","13.68","432.74","579.92","309.05",-2.49,"48.15"
"PSUBNKIETF","ICICI Prudential Nifty PSU Bank ETF","86.96","88.40","86.77","86.44","88.30","-","1.86","2.15","3,28,516","2.87","86.59","88.40","55.80",1.73,"33.04"
"BANKPSU","Nifty PSU Bank Total Return Index","86.49","87.77","86.20","85.97","87.77","-","1.80","2.09","43,933","0.38","86.01","88.74","55.29",2.53,"33.57"
"MOENERGY","Nifty Energy Index","35.88","36.40","35.51","35.51","36.22","-","0.71","2.00","1,35,154","0.49","35.53","37.88","33.50",1.88,"-"
"SILVER1","Kotak Silver ETF","226.80","226.80","221.68","221.27","225.60","-","4.33","1.96","17,12,521","38.51","219.78","244.70","84.53",34.26,"165.31"
"SBIBPB","BSE PSU Bank Index TRI","50.97","50.97","49.95","49.95","50.90","-","0.95","1.90","39,524","0.20","49.88","53.29","34.37",1.67,"-"
"AXISVALUE","Nifty500 Value 50 TRI","32.08","32.32","31.41","31.69","32.29","-","0.60","1.89","68,142","0.22","31.74","32.32","22.84",5.59,"-"
"GROWWRAIL","Nifty India Railways PSU Index","35.72","36.15","35.46","35.41","36.08","-","0.67","1.89","10,65,905","3.83","35.48","43.66","28.72",7.01,"-"
"MOGOLD","Domestic Price of Physical Gold","131.80","136.75","131.80","131.55","134.00","-","2.45","1.86","9,94,796","13.26","131.75","139.00","96.30",5.94,"-"
"MOINFRA","BSE India Infrastructure Total Return Index","60.51","61.51","60.51","60.27","61.38","-","1.11","1.84","7,478","0.05","60.29","63.80","56.28",2.32,"-"
"IVZINGOLD","Gold","11,679.95","11,800.00","11,662.00","11,590.95","11,800.00","-","209.05","1.80","24,288","28.56","11,459.57","12,272.75","6,700.15",6.93,"75.04"
"SETFGOLD","Gold","116.85","116.85","114.34","114.00","116.04","-","2.04","1.79","96,15,893","110.69","113.49","119.66","64.96",5.87,"74.12"
"METALIETF","Nifty Metal Index","11.59","11.75","11.32","11.31","11.51","-","0.20","1.77","5,08,29,500","58.10","11.30","11.75","7.35",10.81,"32.56"
"HDFCPSUBK","HDFC NIFTY PSU BANK ETF","88.00","88.00","86.56","86.48","87.99","-","1.51","1.75","33,253","0.29","86.34","88.56","55.68",1.83,"32.78"
"PSUBANK","Nifty PSU Bank","864.18","874.33","854.40","854.37","869.17","-","14.80","1.73","15,081","1.30","855.18","874.33","552.00",2.15,"32.71"
"GROWWEV","Nifty EV and New Age Automotive Index","31.57","32.17","31.41","31.56","32.10","-","0.54","1.71","4,00,830","1.28","31.61","32.35","23.00",2.33,"6.84"
"COMMOIETF","ICICI Prudential Nifty Commodities ETF","97.47","99.20","97.47","97.39","99.01","-","1.62","1.66","2,32,362","2.29","97.27","99.20","75.61",5.84,"20.68"
"VAL30IETF","Nifty200 Value 30 Index","15.06","15.32","15.06","15.04","15.29","-","0.25","1.66","2,53,407","0.39","15.02","17.49","10.96",6.84,"22.60"
"OILIETF","Nifty Oil & Gas Index","12.41","12.60","12.41","12.40","12.60","-","0.20","1.61","43,61,683","5.45","12.39","12.69","9.42",3.21,"16.13"
"METAL","Nifty Metal Total Return Index","11.58","11.58","11.34","11.30","11.48","-","0.18","1.59","1,17,09,645","13.38","11.30","12.69","7.73",10.92,"32.56"
"GROWWDEFNC","Nifty India Defence Index- Total Return Index","77.65","78.50","77.27","77.27","78.49","-","1.22","1.58","2,53,164","1.97","77.10","93.89","49.83",-2.06,"18.96"
