"SYMBOL 
","UNDERLYING ASSET 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
","VALUE 
 (₹ Crores)","NAV 
","52W H 
","52W L 
","30D  %CHNG 
","365 D   %CHNG 
"
"SILVERBEES","Domestic price of Silver- based on LBMA Silver daily spot fixing price","235.80","237.11","234.82","237.41","237.11","-","-0.30","-0.13","1,17,69,231","277.48","237.88","360.00","90.47",7.96,"155.28"
"NIFTYBEES","Nifty 50","275.52","277.38","275.35","277.63","276.19","-","-1.44","-0.52","45,60,050","125.86","278.06","302.25","251.70",5.94,"2.94"
"LIQUIDBEES","Government Securities","999.99","1,000.01","998.09","999.99","999.99","-","-","-","10,63,459","106.34","1,000.00","1,029.99","970.00",0,"-"
"GOLDBEES","Gold","124.99","125.10","124.47","125.22","125.07","-","-0.15","-0.12","68,95,862","86.08","125.21","148.14","76.36",3.44,"54.46"
"ITBEES","Nifty IT TRI","34.86","34.86","33.70","34.96","33.74","-","-1.22","-3.49","1,78,05,720","60.43","35.00","44.27","31.25",8.71,"-5.33"
"LIQUIDCASE","Zerodha Nifty 1D Rate Liquid ETF","113.71","113.73","113.71","113.70","113.72","-","0.02","0.02","48,51,744","55.17","113.70","113.73","102.00",0.4,"5.13"
"TATSILV","Tata Silver Exchange Traded Fund","24.08","24.08","23.81","24.10","24.07","-","-0.03","-0.12","2,04,48,598","48.91","24.15","35.10","9.16",7.88,"155.84"
"GOLD1","Gold","129.46","129.46","125.01","126.31","126.09","-","-0.22","-0.17","28,21,753","35.49","126.27","158.00","76.98",3.08,"54.81"
"TATAGOLD","Tata Gold Exchange Traded Fund","14.69","14.74","14.57","14.69","14.67","-","-0.02","-0.14","2,21,53,119","32.43","14.69","17.70","8.00",3.16,"54.63"
"SILVERIETF","Domestic Price of Silver","242.40","248.40","242.40","247.82","247.41","-","-0.41","-0.17","10,86,086","26.72","248.21","373.50","93.95",8.28,"155.67"
"SILVER1","Kotak Silver ETF","24.04","24.05","23.67","24.06","24.03","-","-0.03","-0.12","1,05,87,173","25.26","24.11","38.80","9.17",7.84,"-74.47"
"HDFCSILVER","HDFC Silver ETF","234.59","237.00","234.59","237.43","237.00","-","-0.43","-0.18","9,80,482","23.11","237.92","359.00","90.65",7.91,"154.02"
"JUNIORBEES","Nippon India ETF Nifty Next 50 Junior BeES","761.88","768.00","759.00","762.61","767.70","-","5.09","0.67","2,32,332","17.77","763.18","777.00","632.34",10.76,"9.23"
"SILVERCASE","Commodity-Silver","24.57","25.16","24.57","25.20","25.16","-","-0.04","-0.16","63,32,615","15.83","23.82","38.01","9.63",8.29,"155.32"
"BANKBEES","Nifty Bank","590.27","591.46","587.50","591.06","591.00","-","-0.06","-0.01","2,67,071","15.75","591.55","638.99","515.98",7.3,"4.39"
