Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange
NVDA,NVIDIA CORP,Information Technology,Equity,"3,38,66,72,645.83",7.06,"3,38,66,72,645.83","1,65,05,057.00",205.19,United States,NASDAQ
AAPL,APPLE INC,Information Technology,Equity,"2,95,77,98,410.21",6.17,"2,95,77,98,410.21","1,01,59,717.00",291.13,United States,NASDAQ
MSFT,MICROSOFT CORP,Information Technology,Equity,"2,04,36,53,036.88",4.26,"2,04,36,53,036.88","52,30,212.00",390.74,United States,NASDAQ
AMZN,AMAZON.COM INC,Consumer Discretionary,Equity,"1,61,37,65,225.15",3.37,"1,61,37,65,225.15","67,64,893.00",238.55,United States,NASDAQ
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"1,47,72,06,119.68",3.08,"1,47,72,06,119.68","41,07,001.00",359.68,United States,NASDAQ
AVGO,BROADCOM INC,Information Technology,Equity,"1,24,43,68,749.91",2.6,"1,24,43,68,749.91","32,56,913.00",382.07,United States,NASDAQ
GOOG,ALPHABET INC CLASS C,Communication,Equity,"1,20,01,92,727.36",2.5,"1,20,01,92,727.36","33,50,996.00",358.16,United States,NASDAQ
META,META PLATFORMS INC CLASS A,Communication,Equity,"87,30,11,423.86",1.82,"87,30,11,423.86","15,39,757.00",566.98,United States,NASDAQ
TSLA,TESLA INC,Consumer Discretionary,Equity,"80,87,34,735.50",1.69,"80,87,34,735.50","19,89,850.00",406.43,United States,NASDAQ
MU,MICRON TECHNOLOGY INC,Information Technology,Equity,"77,34,65,489.16",1.61,"77,34,65,489.16","7,87,956.00",981.61,United States,NASDAQ
LLY,ELI LILLY,Health Care,Equity,"64,01,13,276.00",1.34,"64,01,13,276.00","5,64,972.00","1,133.00",United States,NYSE
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,"63,63,70,899.75",1.33,"63,63,70,899.75","13,00,707.00",489.25,United States,NYSE
JPM,JPMORGAN CHASE & CO,Financials,Equity,"61,44,28,640.88",1.28,"61,44,28,640.88","19,15,779.00",320.72,United States,NYSE
AMD,ADVANCED MICRO DEVICES INC,Information Technology,Equity,"58,09,89,537.43",1.21,"58,09,89,537.43","11,35,699.00",511.57,United States,NASDAQ
