,,,MIS  ,,CO,,,
ISIN,Symbol,BSE Symbol,Var+ ELM+Adhoc margin,MIS Margin(%),MIS Multiplier,CO Margin(%),CO Upper Trigger,CO Multiplier
ISIN,Symbol,Not listed in BSE,#N/A,#N/A,#N/A,#N/A,#N/A,
INE144J01027,20MICRONS,533022,22.26,20.00,5,20.00,10,5
INE466L01038,360ONE,542772,16.76,20.00,5,20.00,10,5
INE994E01018,3BBLACKBIO,532067,24.72,20.00,5,20.00,10,5
INE470A01017,3MINDIA,523395,14.74,20.00,5,20.00,10,5
INE618L01018,5PAISA,540776,19.80,20.00,5,20.00,10,5
INE111B01023,63MOONS,526881,25.64,20.00,5,20.00,10,5
INE883F01010,AADHARHFC,544176,15.14,20.00,5,20.00,10,5
INE767A01016,AARTIDRUGS,524348,17.24,20.00,5,20.00,10,5
INE769A01020,AARTIIND,524208,18.83,20.00,5,20.00,10,5
INE0LRU01027,AARTIPHARM,543748,22.56,20.00,5,20.00,10,5
INE754X01016,AARVI,202402,21.73,20.00,5,20.00,10,5
INE216P01012,AAVAS,541988,16.19,20.00,5,20.00,10,5
INE117A01022,ABB,500002,16.32,20.00,5,20.00,10,5
INE358A01014,ABBOTINDIA,500488,12.50,20.00,5,20.00,10,5
INE674K01013,ABCAPITAL,540691,17.21,20.00,5,20.00,10,5
INE552Z01027,ABDL,544203,19.66,20.00,5,20.00,10,5
INE647O01011,ABFRL,535755,18.70,20.00,5,20.00,10,5
INE00YB01025,ABINFRA,544281,22.73,20.00,5,20.00,10,5
INE14LE01019,ABLBL,544403,15.70,20.00,5,20.00,10,5
INE055A01016,ABREL,500040,20.07,20.00,5,20.00,10,5
INE404A01024,ABSLAMC,543374,18.60,20.00,5,20.00,10,5
INF209KB17D5,ABSLBANETF,542863,12.50,20.00,5,20.00,10,5
INE012A01025,ACC,500410,13.19,20.00,5,20.00,10,5
INE731H01025,ACE,532762,18.72,20.00,5,20.00,10,5
INE128X01021,ACI,543657,17.79,20.00,5,20.00,10,5
INE622W01025,ACMESOLAR,544283,19.27,20.00,5,20.00,10,5
INE366C01021,ACSTECH,530745,41.50,20.00,5,20.00,10,5
INE00FF01025,ACUTAAS,543349,22.21,20.00,5,20.00,10,5
INE931S01010,ADANIENSOL,539254,20.92,20.00,5,20.00,10,5
INE423A01024,ADANIENT,512599,18.80,20.00,5,20.00,10,5
INE364U01010,ADANIGREEN,541450,22.18,20.00,5,20.00,10,5
INE742F01042,ADANIPORTS,532921,15.77,20.00,5,20.00,10,5
INE814H01029,ADANIPOWER,533096,20.15,20.00,5,20.00,10,5
INE982B01027,ADFFOODS,519183,23.99,20.00,5,20.00,10,5
INE045A01017,ADOR,517041,18.37,20.00,5,20.00,10,5
INE102I01027,ADSL,532875,24.63,20.00,5,20.00,10,5
INE0ALI01010,ADVAIT,543230,25.94,20.00,5,20.00,10,5
INE1B0W01010,ADVANCE,544562,20.21,20.00,5,20.00,10,5
INE28GN01010,ADVENTHTL,544446,22.28,20.00,5,20.00,10,5
INE837H01020,ADVENZYMES,540025,19.78,20.00,5,20.00,10,5
INE208C01025,AEGISLOG,500003,23.91,20.00,5,20.00,10,5
INE0INX01018,AEGISVOPAK,544407,21.30,20.00,5,20.00,10,5
INE947N01017,AEQUS,544634,21.80,20.00,5,20.00,10,5
INE065D01027,AEROENTER,511076,24.89,20.00,5,20.00,10,5
INE024001021,AEROFLEX,543972,28.00,20.00,5,20.00,10,5
INE05TO01019,AEROPLANE,544743,17.18,20.00,5,20.00,10,5
INE0BWX01014,AETHER,543534,18.87,20.00,5,20.00,10,5
INE101I01011,AFCONS,544280,16.74,20.00,5,20.00,10,5
INE00WC01027,AFFLE,542752,17.27,20.00,5,20.00,10,5
INE204E01012,AGARIND,531921,25.63,20.00,5,20.00,10,5
INE943P01029,AGARWALEYE,544350,13.97,20.00,5,20.00,10,5
INE415A01038,AGI,500187,21.73,20.00,5,20.00,10,5
INE976R01033,AGIIL,539042,23.98,20.00,5,20.00,10,5
INE1YPB01014,AGL,544602,12.86,20.00,5,20.00,10,5
INE0Y8W01025,AHCL,544497,19.70,20.00,5,20.00,10,5
INE758C01029,AHLUCONT,532811,18.46,20.00,5,20.00,10,5
INE212H01026,AIAENG,532683,14.72,20.00,5,20.00,10,5
INE206F01022,AIIL,539177,25.37,20.00,5,20.00,10,5
INE031B01049,AJANTPHARM,532331,15.04,20.00,5,20.00,10,5
INE274Y01021,AJAXENGG,544356,17.79,20.00,5,20.00,10,5
INE298G01035,AJMERA,513349,24.29,20.00,5,20.00,10,5
INE701G01012,AKCAPIT,530499,25.00,20.00,5,20.00,10,5
INE09XN01023,AKUMS,544222,17.50,20.00,5,20.00,10,5
INE426A01027,ALEMBICLTD,506235,16.63,20.00,5,20.00,10,5
INE598D01035,ALGOQUANT,505725,18.02,20.00,5,20.00,10,5
INE062D01024,ALICON,531147,19.28,20.00,5,20.00,10,5
INE03Q201024,ALIVUS,543322,16.98,20.00,5,20.00,10,5
INE540L01014,ALKEM,539523,12.51,20.00,5,20.00,10,5
INE150B01039,ALKYLAMINE,506767,19.80,20.00,5,20.00,10,5
INE418H01029,ALLCARGO,532749,22.54,20.00,5,20.00,10,5
INE835G01018,ALLDIGI,532633,16.62,20.00,5,20.00,10,5
