Stock Name,Sector,Symbol,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025
Force Motors Ltd.,Automobile and Auto Components,FORCEMOT,-4.8,0.63,36.45,34.46,90.81,142.51,155.59,193.8,153.34,166.3,168.77,185.86
Ather Energy Ltd.,Automobile and Auto Components,ATHERENERG,,,,,3.54,9.92,15.89,48.91,87.07,128.9,137.5,137.25
Lumax Auto Technologies Ltd.,Automobile and Auto Components,LUMAXTECH,-16.29,-22.91,-16.77,-19.7,25.09,81.29,69.85,81.07,92.65,73.83,136.81,131.17
L&T Finance Ltd.,Financial Services,LTF,5.6,-2.2,11.22,19.17,24.34,49.54,47.06,57.64,80.95,96.35,126.73,117.77
Gabriel India Ltd.,Automobile and Auto Components,GABRIEL,-8.12,-7.44,15.64,8.04,31.39,40.12,106.95,129.93,135.71,154.17,105.25,100.28
Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER,-3.4,-18.22,-10.75,-13.79,0.05,12.9,-1.63,-7.07,33.17,37.54,32.18,97.04
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,0.22,-12.66,3.39,9.7,24.31,54.53,43.38,55.22,63.32,81.12,100.03,93.72
RBL Bank Ltd.,Financial Services,RBLBANK,4.42,0.34,9.97,26.98,35.03,57.47,69.09,65.43,75.7,106.81,97.97,92.78
Belrise Industries Ltd.,Automobile and Auto Components,BELRISE,,,,,-3.74,7.96,41.8,43.29,61.66,54.57,72.05,87.71
Gujarat Mineral Development Corporation Ltd.,Metals & Mining,GMDCLTD,-0.54,-25.45,-18.09,-6.07,10.35,27.12,21.62,24.72,85.01,83.54,66.55,84.45
Anupam Rasayan India Ltd.,Chemicals,ANURAS,-4.44,-12.7,4.83,19.9,38.7,57.61,56.46,55.96,47.9,48.29,68.65,81.13
Navin Fluorine International Ltd.,Chemicals,NAVINFLUOR,26.48,14.69,28.37,37.84,29.9,46.94,53.88,42.9,40.89,73.38,74.85,79.29
Cartrade Tech Ltd.,Consumer Services,CARTRADE,9.04,0.93,8.62,12.54,2.55,12.3,44.38,58.34,61.78,99.38,103.88,77.89
Laurus Labs Ltd.,Healthcare,LAURUSLABS,-5.13,-14.37,-0.37,-1.92,-0.98,17.74,42.02,39.19,36.73,54.9,67.52,75.65
Multi Commodity Exchange of India Ltd.,Financial Services,MCX,-8.8,-20.59,-15.5,-2.52,5.03,42.28,22.38,17.56,24.02,47.05,60.25,73.99
Privi Speciality Chemicals Ltd.,Chemicals,PRIVISCL,-2.09,-18.05,-4.66,10.22,29.07,26.96,42.86,23.72,33.36,62.36,76.34,73.69
AU Small Finance Bank Ltd.,Financial Services,AUBANK,5.7,-0.5,-5.97,19.36,21.9,43.79,30.42,26.29,28.64,54.4,68.02,73.54
City Union Bank Ltd.,Financial Services,CUB,-0.05,-14.96,-9.57,1.58,12.59,25.83,23.28,12.8,22.97,31.56,55.96,72.0
Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN,1.98,-3.71,7.58,-2.04,0.02,18.46,17.93,19.09,38.92,43.5,69.03,68.69
Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,GODFRYPHLP,-10.28,3.06,34.44,61.19,72.83,78.27,80.94,118.53,101.62,83.37,71.17,66.02
Sandur Manganese & Iron Ores Ltd.,Oil Gas & Consumable Fuels,SANDUMA,-6.46,-7.91,4.74,9.56,14.88,13.64,7.39,2.67,20.56,54.86,52.42,65.8
Shriram Finance Ltd.,Financial Services,SHRIRAMFIN,-6.85,5.75,12.38,4.79,9.53,21.09,8.07,-0.6,5.55,28.3,45.9,63.69
Manappuram Finance Ltd.,Financial Services,MANAPPURAM,2.33,4.9,21.5,20.5,24.58,43.74,32.09,36.48,46.58,40.68,48.74,62.08
Thangamayil Jewellery Ltd.,Consumer Durables,THANGAMAYL,-8.99,-5.75,0.25,4.64,-3.78,-7.06,-5.64,12.57,0.49,8.29,62.41,60.12
Indian Metals & Ferro Alloys Ltd.,Metals & Mining,IMFA,-22.31,-31.17,-32.29,-34.88,-30.82,-12.83,-19.07,-4.52,22.76,33.24,49.36,59.65
